# self-oscillation statistics, 2026-07-10T14:34:53, gain=2.3, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04
cycle,t_s,f_MHz,R_V
562,230.0390,2863.619566,5.94363425e-05
563,230.4264,2861.883360,1.79375491e-04
564,230.8187,2862.904366,5.57209615e-05
565,231.2095,2862.598694,1.15219372e-04
566,231.6220,2862.601004,1.01407088e-04
567,232.0417,2863.046383,8.15364719e-05
568,232.4518,2862.271655,1.36255462e-04
569,232.8537,2862.814361,7.71715883e-05
570,233.2738,2862.960628,9.49509708e-05
571,233.6874,2862.311941,1.30602805e-04
572,234.0752,2862.772612,8.08506795e-05
573,234.5039,2864.244169,3.55147823e-05
574,234.8926,2861.493404,2.24876118e-04
575,235.2987,2862.467341,5.78318653e-05
576,235.7392,2863.750240,4.39756579e-05
577,236.1407,2861.805030,1.88748866e-04
578,236.5252,2862.565519,6.74045345e-05
579,236.9524,2863.533800,5.80855311e-05
580,237.3547,2861.976091,1.71370334e-04
581,237.7523,2862.574201,7.46868463e-05
582,238.1793,2864.139264,3.13212517e-05
583,238.5824,2861.610981,2.14898288e-04
584,238.9742,2862.479760,6.25479833e-05
585,239.3743,2863.750387,4.45260382e-05
586,239.7204,2861.742363,1.91565911e-04
587,240.1382,2862.740238,5.67583192e-05
588,240.5555,2862.505840,1.12022891e-04
589,240.9884,2862.434969,1.04689125e-04
590,241.3881,2862.638564,9.23799338e-05
591,241.7346,2862.564472,1.04833523e-04
592,242.1176,2862.876061,8.75366713e-05
593,242.5196,2862.506760,1.18072954e-04
594,242.9237,2862.736974,9.11861586e-05
595,243.3542,2863.633072,6.13227818e-05
596,243.7157,2861.806423,1.83431637e-04
597,244.1416,2861.717512,1.05498160e-04
598,244.5374,2862.562740,6.36041851e-05
599,244.9382,2863.367823,6.54045745e-05
600,245.3516,2861.962671,1.64528529e-04
601,245.7511,2862.814091,6.33264882e-05
602,246.1892,2864.463885,2.75212484e-05
603,246.5509,2861.559396,2.31770295e-04
604,246.9422,2862.432382,6.23592760e-05
